GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Not Hispanic or Latino:,Margin of Error!!Total:!!Not Hispanic or Latino:,Estimate!!Total:!!Not Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone,Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Estimate!!Total:!!Hispanic or Latino:,Margin of Error!!Total:!!Hispanic or Latino:,Estimate!!Total:!!Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Hispanic or Latino:!!White alone,Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1400000US06001400100,"Census Tract 4001, Alameda County, California",3120,208,3002,191,2317,235,107,68,0,12,391,112,0,12,0,12,187,126,0,12,187,126,118,61,77,50,0,12,0,12,7,10,0,12,34,33,0,12,0,12,0,12
1400000US06001400200,"Census Tract 4002, Alameda County, California",2007,120,1833,132,1475,145,52,48,4,7,171,69,0,12,0,12,131,67,0,12,131,67,174,78,102,62,0,12,0,12,0,12,0,12,17,16,55,42,14,25,41,36
1400000US06001400300,"Census Tract 4003, Alameda County, California",5051,309,4700,319,3434,366,459,179,0,17,590,140,23,39,97,105,97,82,0,17,97,82,351,139,314,134,0,17,0,17,0,17,0,17,37,60,0,17,0,17,0,17
1400000US06001400400,"Census Tract 4004, Alameda County, California",4007,344,3522,325,2554,267,266,168,35,38,420,133,0,12,0,12,247,113,0,12,247,113,485,238,194,125,25,37,9,16,0,12,0,12,199,212,58,52,13,21,45,47
1400000US06001400500,"Census Tract 4005, Alameda County, California",4124,357,3734,356,1874,236,882,202,0,12,446,176,22,33,6,10,504,263,20,21,484,264,390,169,162,115,0,12,0,12,0,12,0,12,104,84,124,84,19,22,105,81
1400000US06001400600,"Census Tract 4006, Alameda County, California",1745,133,1614,137,860,152,358,110,3,4,169,82,15,23,33,34,176,72,0,12,176,72,131,66,76,46,17,23,0,12,24,29,0,12,6,9,8,11,0,12,8,11
1400000US06001400700,"Census Tract 4007, Alameda County, California",5128,447,4134,347,1963,251,1448,283,0,17,329,99,0,17,0,17,394,143,0,17,394,143,994,453,220,101,11,17,14,22,0,17,0,17,572,482,177,108,106,94,71,56
1400000US06001400800,"Census Tract 4008, Alameda County, California",4069,442,3637,442,1772,275,947,371,8,12,618,160,0,12,0,12,292,143,53,65,239,103,432,324,55,48,60,66,21,22,0,12,0,12,204,308,92,104,57,65,35,42
1400000US06001400900,"Census Tract 4009, Alameda County, California",2471,285,2080,301,1029,232,711,267,61,83,101,81,0,12,25,39,153,79,0,12,153,79,391,282,209,216,0,12,0,12,0,12,0,12,182,172,0,12,0,12,0,12
