GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
1400000US06001401000,"Census Tract 4010, Alameda County, California",6133,501,4985,501,2051,289,1862,486,0,17,412,197,95,112,25,38,540,335,88,131,452,281,1148,366,452,366,116,162,10,18,0,17,0,17,517,310,53,49,38,41,15,24
1400000US06001401100,"Census Tract 4011, Alameda County, California",4287,354,3826,390,2246,382,332,194,0,12,849,326,12,21,69,82,318,197,0,12,318,197,461,206,241,140,29,46,0,12,0,12,0,12,191,190,0,12,0,12,0,12
1400000US06001401200,"Census Tract 4012, Alameda County, California",2619,182,2300,197,1598,194,295,98,2,6,301,143,0,12,0,12,104,62,0,12,104,62,319,118,174,78,5,10,6,23,0,12,0,12,119,91,15,17,15,17,0,12
1400000US06001401300,"Census Tract 4013, Alameda County, California",3921,263,3524,264,1506,177,1118,228,24,22,657,146,0,12,0,12,219,152,0,12,219,152,397,169,131,67,31,42,10,16,6,10,0,12,136,125,83,55,60,49,23,22
1400000US06001401400,"Census Tract 4014, Alameda County, California",4732,504,3835,494,1218,281,1511,458,73,80,570,308,15,23,52,83,396,289,10,16,386,288,897,290,292,162,0,12,0,12,0,12,0,12,528,270,77,61,25,29,52,51
1400000US06001401500,"Census Tract 4015, Alameda County, California",2839,368,2438,299,1048,253,1060,202,0,12,129,73,24,39,0,12,177,91,6,11,171,92,401,235,60,41,5,8,12,17,0,12,0,12,272,231,52,37,20,28,32,24
1400000US06001401600,"Census Tract 4016, Alameda County, California",2289,217,1830,223,656,198,822,139,0,12,239,99,21,27,0,12,92,65,0,12,92,65,459,107,160,88,0,12,0,12,6,9,0,12,233,104,60,72,0,12,60,72
1400000US06001401700,"Census Tract 4017, Alameda County, California",3018,339,2214,234,1173,192,514,187,0,12,360,107,7,11,0,12,160,93,0,12,160,93,804,274,257,161,0,12,0,12,7,12,10,16,414,262,116,119,73,93,43,41
1400000US06001401800,"Census Tract 4018, Alameda County, California",1801,265,1436,247,603,164,688,220,4,6,99,55,0,12,20,28,22,28,0,12,22,28,365,142,51,47,5,9,8,12,0,12,0,12,242,145,59,77,0,12,59,77
1400000US06001402200,"Census Tract 4022, Alameda County, California",2477,210,2075,202,740,110,787,229,31,35,405,168,0,12,0,12,112,58,9,16,103,52,402,96,89,53,11,17,9,10,0,12,0,12,212,98,81,49,33,35,48,35
1400000US06001402400,"Census Tract 4024, Alameda County, California",2866,375,2604,383,691,215,1387,317,0,12,362,188,10,15,0,12,154,100,0,12,154,100,262,148,95,62,66,93,1,2,0,12,0,12,78,104,22,32,22,32,0,12
1400000US06001402500,"Census Tract 4025, Alameda County, California",1781,222,1518,242,194,102,1040,198,0,12,237,101,0,12,0,12,47,57,0,12,47,57,263,137,17,19,25,26,0,12,0,12,0,12,113,116,108,77,77,76,31,34
1400000US06001402600,"Census Tract 4026, Alameda County, California",1243,117,1038,112,179,56,322,91,6,9,481,93,0,12,0,12,50,29,0,12,50,29,205,113,109,92,0,12,0,12,0,12,0,12,59,48,37,37,3,6,34,36
1400000US06001402700,"Census Tract 4027, Alameda County, California",1890,228,1501,195,439,123,799,179,12,18,205,98,0,12,13,22,33,23,0,12,33,23,389,196,101,76,12,13,0,12,0,12,0,12,248,183,28,30,28,30,0,12
1400000US06001402800,"Census Tract 4028, Alameda County, California",4480,435,4199,420,1263,200,1706,416,26,31,832,193,0,12,0,12,372,179,0,12,372,179,281,115,85,69,0,12,0,12,0,12,0,12,126,92,70,54,25,41,45,46
1400000US06001402900,"Census Tract 4029, Alameda County, California",1406,126,1158,125,303,79,241,69,3,4,528,103,0,12,19,22,64,43,0,12,64,43,248,95,45,32,18,22,0,12,6,9,0,12,159,96,20,19,0,12,20,19
1400000US06001403000,"Census Tract 4030, Alameda County, California",2905,216,2839,210,189,73,127,156,10,17,2366,219,72,71,14,20,61,44,0,12,61,44,66,63,37,45,0,12,0,12,0,12,0,12,29,31,0,12,0,12,0,12
1400000US06001403100,"Census Tract 4031, Alameda County, California",2101,256,1827,233,585,130,371,180,6,10,795,141,12,20,8,13,50,44,0,12,50,44,274,92,113,51,5,9,0,12,12,18,0,12,96,54,48,37,30,34,18,15
1400000US06001403300,"Census Tract 4033, Alameda County, California",4178,440,3926,445,1093,283,312,228,100,90,2182,428,0,12,0,12,239,120,0,12,239,120,252,126,157,99,0,12,21,24,0,12,0,12,74,55,0,12,0,12,0,12
1400000US06001403400,"Census Tract 4034, Alameda County, California",4340,340,3985,355,1716,247,831,320,19,41,1128,259,35,35,41,66,215,110,13,22,202,108,355,148,105,85,33,41,0,12,0,12,0,12,165,113,52,67,52,67,0,12
1400000US06001403501,"Census Tract 4035.01, Alameda County, California",4492,388,3941,514,1683,452,1073,239,24,23,835,182,39,44,0,12,287,151,0,12,287,151,551,311,196,76,23,37,30,49,0,12,0,12,58,58,244,276,24,33,220,270
1400000US06001403502,"Census Tract 4035.02, Alameda County, California",2044,236,1800,241,859,159,520,169,0,12,227,128,0,12,10,16,184,89,10,16,174,86,244,106,104,58,10,21,0,12,27,49,0,12,66,50,37,42,28,38,9,14
1400000US06001403600,"Census Tract 4036, Alameda County, California",5570,505,4795,526,1634,314,2297,531,13,17,522,217,0,17,34,40,295,192,0,17,295,192,775,225,282,136,99,107,0,17,91,103,0,17,190,111,113,101,82,100,31,32
1400000US06001403701,"Census Tract 4037.01, Alameda County, California",2968,235,2606,227,1277,164,794,279,0,12,374,179,0,12,29,31,132,61,0,12,132,61,362,124,184,79,6,10,0,12,7,11,0,12,141,77,24,28,18,29,6,10
1400000US06001403702,"Census Tract 4037.02, Alameda County, California",1930,235,1741,231,1002,168,290,124,0,12,341,156,0,12,14,21,94,75,0,12,94,75,189,111,54,38,8,13,0,12,0,12,0,12,106,102,21,22,21,22,0,12
1400000US06001403800,"Census Tract 4038, Alameda County, California",3351,270,3231,279,2270,272,435,221,0,12,392,130,4,6,0,12,130,56,0,12,130,56,120,64,71,46,0,12,0,12,0,12,0,12,10,13,39,47,11,17,28,44
1400000US06001403900,"Census Tract 4039, Alameda County, California",4051,287,3750,274,2321,351,549,267,9,13,655,192,0,12,0,12,216,187,28,52,188,156,301,139,153,88,0,12,0,12,0,12,0,12,77,70,71,83,71,83,0,12
1400000US06001404000,"Census Tract 4040, Alameda County, California",2895,218,2420,246,1598,221,210,99,29,31,295,94,71,67,15,22,202,96,0,12,202,96,475,176,255,110,34,54,0,12,0,12,0,12,102,78,84,62,14,17,70,56
1400000US06001404101,"Census Tract 4041.01, Alameda County, California",3017,208,2805,181,1876,220,237,101,11,13,380,111,0,12,62,60,239,147,0,12,239,147,212,111,128,80,0,12,0,12,0,12,0,12,53,67,31,35,9,15,22,34
1400000US06001404102,"Census Tract 4041.02, Alameda County, California",2653,173,2391,215,1764,198,125,69,36,45,319,100,20,32,14,21,113,101,0,12,113,101,262,146,124,68,5,8,0,12,16,25,0,12,79,111,38,54,32,53,6,11
1400000US06001404200,"Census Tract 4042, Alameda County, California",3877,274,3660,263,2394,260,245,170,8,9,736,226,33,36,37,29,207,110,7,12,200,108,217,81,137,66,11,15,0,12,0,12,0,12,35,34,34,47,7,12,27,45
1400000US06001404300,"Census Tract 4043, Alameda County, California",3443,216,3030,239,2248,230,57,69,0,12,467,113,0,12,16,24,242,140,42,48,200,107,413,196,67,48,0,12,0,12,0,12,0,12,160,136,186,113,93,82,93,109
1400000US06001404400,"Census Tract 4044, Alameda County, California",5628,313,5329,316,3771,315,131,88,18,27,729,170,0,17,0,17,680,278,62,96,618,274,299,87,265,86,0,17,22,36,0,17,0,17,0,17,12,21,12,21,0,17
1400000US06001404501,"Census Tract 4045.01, Alameda County, California",1809,128,1688,143,1201,147,122,56,0,12,209,94,9,12,13,19,134,57,0,12,134,57,121,74,116,74,0,12,0,12,0,12,0,12,5,9,0,12,0,12,0,12
1400000US06001404502,"Census Tract 4045.02, Alameda County, California",5891,298,5442,334,4448,359,67,71,0,17,600,249,0,17,0,17,327,167,0,17,327,167,449,207,234,164,37,61,13,19,24,37,0,17,74,84,67,61,27,42,40,47
1400000US06001404600,"Census Tract 4046, Alameda County, California",4625,295,4402,312,3223,263,178,113,8,11,604,136,106,163,40,37,243,142,12,17,231,142,223,120,131,75,0,12,0,12,37,43,0,12,55,50,0,12,0,12,0,12
1400000US06001404700,"Census Tract 4047, Alameda County, California",2137,138,1935,109,1487,141,128,61,0,12,240,101,9,13,0,12,71,50,0,12,71,50,202,95,129,68,0,12,0,12,46,69,0,12,27,23,0,12,0,12,0,12
1400000US06001404800,"Census Tract 4048, Alameda County, California",2647,203,2265,186,1307,170,423,98,11,15,293,56,0,12,20,23,211,107,0,12,211,107,382,156,210,126,0,12,81,111,0,12,0,12,32,36,59,76,59,76,0,12
1400000US06001404900,"Census Tract 4049, Alameda County, California",4197,235,3700,207,2354,196,403,149,28,26,645,113,31,32,8,14,231,92,0,12,231,92,497,188,335,164,0,12,15,24,29,34,0,12,26,28,92,66,23,29,69,58
1400000US06001405000,"Census Tract 4050, Alameda County, California",3394,189,3143,203,2090,224,398,185,0,12,373,81,0,12,14,20,268,116,0,12,268,116,251,98,110,46,9,14,10,16,16,24,0,12,50,53,56,53,27,31,29,43
1400000US06001405100,"Census Tract 4051, Alameda County, California",4285,226,4138,213,2786,165,581,160,0,12,435,111,0,12,11,17,325,124,32,41,293,121,147,76,30,26,8,13,0,12,0,12,0,12,67,49,42,39,20,30,22,24
1400000US06001405200,"Census Tract 4052, Alameda County, California",5183,297,4362,350,1983,238,466,137,15,23,1635,320,25,39,0,17,238,130,40,47,198,124,821,317,358,253,138,171,21,38,0,17,0,17,151,93,153,78,101,67,52,54
1400000US06001405301,"Census Tract 4053.01, Alameda County, California",2954,195,2414,225,1555,188,339,150,0,12,304,107,13,16,0,12,203,95,0,12,203,95,540,166,124,75,13,20,0,12,18,28,0,12,329,148,56,39,35,32,21,22
1400000US06001405302,"Census Tract 4053.02, Alameda County, California",2373,247,2181,261,730,165,304,133,8,13,1004,215,0,12,25,31,110,74,9,14,101,72,192,141,131,136,8,13,0,12,0,12,0,12,28,20,25,26,6,10,19,24
1400000US06001405401,"Census Tract 4054.01, Alameda County, California",3648,310,2824,366,749,171,592,204,0,12,1277,281,0,12,36,48,170,72,8,13,162,72,824,285,138,124,51,44,0,12,0,12,0,12,589,291,46,44,5,10,41,42
1400000US06001405402,"Census Tract 4054.02, Alameda County, California",3357,355,2650,374,579,181,866,263,8,12,938,153,102,98,0,12,157,130,0,12,157,130,707,252,100,86,28,54,37,42,0,12,0,12,542,250,0,12,0,12,0,12
1400000US06001405500,"Census Tract 4055, Alameda County, California",3880,347,3520,362,831,122,870,227,27,34,1619,340,31,40,0,12,142,82,0,12,142,82,360,121,231,124,9,15,28,40,0,12,10,16,56,49,26,37,0,12,26,37
1400000US06001405600,"Census Tract 4056, Alameda County, California",3269,276,2477,322,866,217,588,231,73,103,727,244,0,12,23,26,200,93,47,49,153,79,792,257,426,220,14,22,23,37,0,12,0,12,302,219,27,33,27,33,0,12
1400000US06001405700,"Census Tract 4057, Alameda County, California",3531,326,3049,377,508,176,747,313,17,21,1625,457,0,12,54,49,98,69,36,55,62,42,482,311,112,82,0,12,0,12,0,12,0,12,249,293,121,101,10,15,111,99
1400000US06001405800,"Census Tract 4058, Alameda County, California",4370,481,3625,488,656,269,944,427,57,68,1871,367,25,38,8,14,64,70,0,12,64,70,745,342,418,317,18,24,51,53,0,12,0,12,216,148,42,62,24,35,18,27
1400000US06001405901,"Census Tract 4059.01, Alameda County, California",4426,555,2598,480,163,164,628,223,47,33,1618,393,37,58,69,112,36,55,35,55,1,3,1828,567,650,541,88,114,14,22,0,12,0,12,1042,424,34,43,7,12,27,41
1400000US06001405902,"Census Tract 4059.02, Alameda County, California",2942,281,2203,265,258,124,352,94,14,21,1453,247,0,12,24,29,102,85,0,12,102,85,739,149,132,87,6,9,12,19,6,10,0,12,512,157,71,53,37,40,34,37
1400000US06001406000,"Census Tract 4060, Alameda County, California",3796,372,2900,367,702,225,525,228,0,12,1590,353,3,7,0,12,80,71,8,14,72,69,896,304,446,246,0,12,6,10,0,12,0,12,444,303,0,12,0,12,0,12
1400000US06001406100,"Census Tract 4061, Alameda County, California",4733,594,2024,513,703,182,422,426,0,12,824,362,28,41,0,12,47,48,0,12,47,48,2709,523,961,517,10,17,161,217,31,50,0,12,1509,622,37,49,11,19,26,33
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",4995,504,2924,476,264,159,1056,398,8,10,1424,314,18,28,48,69,106,78,0,12,106,78,2071,441,303,182,0,12,71,61,0,12,0,12,1633,478,64,54,9,15,55,51
1400000US06001406202,"Census Tract 4062.02, Alameda County, California",4817,338,1932,319,458,200,684,223,101,123,603,132,0,12,12,18,74,52,13,19,61,51,2885,297,1050,350,12,21,222,185,19,29,0,12,1476,407,106,67,59,56,47,39
1400000US06001406300,"Census Tract 4063, Alameda County, California",4383,424,2903,448,553,201,1161,415,19,23,1061,369,0,12,0,12,109,73,0,12,109,73,1480,257,461,206,0,12,0,12,0,12,0,12,815,194,204,178,172,176,32,33
1400000US06001406400,"Census Tract 4064, Alameda County, California",2545,305,1999,274,801,154,526,232,5,7,483,161,16,22,0,12,168,82,0,12,168,82,546,240,236,159,10,14,24,21,0,12,0,12,223,177,53,47,41,44,12,17
1400000US06001406500,"Census Tract 4065, Alameda County, California",6586,520,3262,490,770,289,1085,289,0,17,923,271,185,170,7,12,292,251,12,19,280,248,3324,673,545,265,170,196,410,348,24,39,0,17,2066,567,109,106,66,90,43,55
1400000US06001406601,"Census Tract 4066.01, Alameda County, California",4955,541,3191,563,738,202,992,337,8,12,1089,310,0,12,7,12,357,253,0,12,357,253,1764,435,238,196,50,83,99,143,0,12,0,12,1175,403,202,182,146,176,56,61
1400000US06001406602,"Census Tract 4066.02, Alameda County, California",2698,310,1935,286,340,112,443,98,42,45,973,305,5,8,0,12,132,69,20,29,112,66,763,243,190,123,42,45,20,32,0,12,0,12,474,262,37,31,27,24,10,16
1400000US06001406700,"Census Tract 4067, Alameda County, California",5159,463,4446,434,2328,360,748,225,34,52,1059,241,0,17,49,72,228,128,0,17,228,128,713,232,426,145,17,28,0,17,0,17,0,17,209,233,61,68,22,36,39,57
1400000US06001406800,"Census Tract 4068, Alameda County, California",3611,273,2697,303,1196,260,403,196,16,18,761,134,0,12,145,164,176,79,0,12,176,79,914,288,317,136,9,18,0,12,0,12,0,12,423,278,165,174,100,130,65,60
1400000US06001406900,"Census Tract 4069, Alameda County, California",3608,259,3240,234,1697,223,670,230,15,24,593,255,12,19,0,12,253,105,9,14,244,101,368,169,157,93,0,12,0,12,0,12,0,12,118,134,93,90,0,12,93,90
1400000US06001407000,"Census Tract 4070, Alameda County, California",5869,643,4111,663,770,293,1234,410,68,73,1453,513,0,17,0,17,586,394,0,17,586,394,1758,414,386,254,0,17,51,60,0,17,0,17,1132,497,189,214,189,214,0,17
1400000US06001407101,"Census Tract 4071.01, Alameda County, California",3821,456,1749,302,188,129,534,277,8,12,956,128,0,12,0,12,63,61,0,12,63,61,2072,483,433,274,37,56,0,12,0,12,0,12,1586,503,16,21,16,21,0,12
1400000US06001407102,"Census Tract 4071.02, Alameda County, California",4387,381,2433,311,435,118,1143,260,17,21,611,159,0,12,0,12,227,129,9,14,218,128,1954,359,176,151,0,12,104,95,17,25,10,19,1471,394,176,133,50,54,126,115
1400000US06001407200,"Census Tract 4072, Alameda County, California",6985,705,2446,491,667,269,590,330,15,27,968,298,3,6,20,31,183,118,0,17,183,118,4539,663,1334,426,8,13,121,121,0,17,0,17,3017,784,59,42,48,39,11,18
1400000US06001407300,"Census Tract 4073, Alameda County, California",2420,253,878,160,286,112,266,120,3,4,236,122,12,19,0,12,75,52,0,12,75,52,1542,235,779,272,0,12,0,12,0,12,0,12,753,225,10,15,10,15,0,12
1400000US06001407400,"Census Tract 4074, Alameda County, California",4531,627,1354,416,80,46,823,300,0,12,329,219,9,15,0,12,113,118,0,12,113,118,3177,679,398,319,21,30,33,50,8,13,0,12,2518,672,199,146,88,107,111,110
1400000US06001407500,"Census Tract 4075, Alameda County, California",4299,559,1933,416,179,82,1247,358,4,9,278,193,5,10,39,64,181,230,0,12,181,230,2366,467,379,278,7,11,42,50,0,12,0,12,1757,529,181,207,181,207,0,12
1400000US06001407600,"Census Tract 4076, Alameda County, California",6327,817,4302,745,1060,275,2472,586,0,17,526,227,0,17,0,17,244,171,0,17,244,171,2025,627,257,220,24,43,0,17,0,17,0,17,1309,606,435,300,41,48,394,301
1400000US06001407700,"Census Tract 4077, Alameda County, California",4122,362,3454,391,1237,198,1770,310,0,12,206,117,17,19,16,25,208,122,0,12,208,122,668,219,295,186,14,18,0,12,4,8,0,12,237,146,118,109,75,94,43,54
1400000US06001407800,"Census Tract 4078, Alameda County, California",2728,213,2187,208,850,138,645,130,0,12,550,155,3,6,0,12,139,80,9,16,130,76,541,164,255,80,0,12,5,9,7,13,0,12,188,120,86,46,30,28,56,35
1400000US06001407900,"Census Tract 4079, Alameda County, California",2873,273,2632,208,1428,195,530,173,0,12,447,92,2,4,53,62,172,85,0,12,172,85,241,136,80,56,0,12,0,12,9,15,0,12,133,125,19,24,0,12,19,24
1400000US06001408000,"Census Tract 4080, Alameda County, California",2700,164,2363,141,1476,145,250,101,12,21,499,108,2,5,20,28,104,78,0,12,104,78,337,102,176,77,5,8,0,12,0,12,0,12,123,70,33,30,22,28,11,13
1400000US06001408100,"Census Tract 4081, Alameda County, California",6320,502,5684,491,2531,342,1506,374,0,17,1287,206,0,17,0,17,360,168,26,43,334,162,636,192,171,73,0,17,0,17,16,25,0,17,296,160,153,86,85,61,68,65
1400000US06001408200,"Census Tract 4082, Alameda County, California",4570,417,3857,389,834,244,2350,445,35,55,238,99,30,46,0,12,370,204,0,12,370,204,713,279,270,130,25,29,22,34,0,12,0,12,303,238,93,74,55,59,38,39
1400000US06001408300,"Census Tract 4083, Alameda County, California",5047,399,3940,386,1136,204,1877,281,6,9,589,248,61,63,0,17,271,135,0,17,271,135,1107,310,291,195,23,36,14,22,0,17,62,83,622,280,95,82,25,41,70,70
1400000US06001408400,"Census Tract 4084, Alameda County, California",3201,369,1991,429,238,128,1610,444,0,12,52,55,8,12,11,18,72,69,0,12,72,69,1210,409,264,182,10,15,0,12,0,12,13,21,840,356,83,114,40,54,43,60
1400000US06001408500,"Census Tract 4085, Alameda County, California",5977,593,2773,487,144,166,2201,354,1,4,132,187,113,97,27,40,155,146,34,52,121,99,3204,557,127,115,35,55,1,2,0,17,0,17,2893,554,148,98,99,81,49,75
1400000US06001408600,"Census Tract 4086, Alameda County, California",7096,746,3381,647,235,122,2497,555,19,21,302,206,0,17,0,17,328,252,0,17,328,252,3715,823,714,431,29,29,9,14,0,17,0,17,2857,847,106,78,64,55,42,69
1400000US06001408700,"Census Tract 4087, Alameda County, California",7909,629,4344,524,663,254,3312,488,0,17,181,139,0,17,0,17,188,188,0,17,188,188,3565,552,636,375,0,17,21,33,0,17,0,17,2398,682,510,338,145,139,365,351
1400000US06001408800,"Census Tract 4088, Alameda County, California",7149,724,3815,593,387,272,2718,577,0,17,308,156,361,300,0,17,41,42,12,19,29,47,3334,737,340,189,0,17,36,58,0,17,0,17,2866,774,92,80,92,80,0,17
1400000US06001408900,"Census Tract 4089, Alameda County, California",3546,357,1208,206,175,112,759,174,0,12,162,110,35,31,0,12,77,65,0,12,77,65,2338,343,331,158,94,96,0,12,0,12,0,12,1832,319,81,88,42,64,39,61
1400000US06001409000,"Census Tract 4090, Alameda County, California",4687,593,2178,431,94,77,1638,427,0,12,221,145,6,10,52,75,167,200,132,192,35,47,2509,755,346,184,0,12,48,75,0,12,0,12,2074,777,41,44,16,21,25,39
1400000US06001409100,"Census Tract 4091, Alameda County, California",2490,231,1015,226,49,34,694,233,18,27,109,91,0,12,0,12,145,113,0,12,145,113,1475,231,672,310,32,34,108,146,0,12,0,12,609,228,54,56,54,56,0,12
1400000US06001409200,"Census Tract 4092, Alameda County, California",3672,272,1578,151,93,44,1137,143,0,12,240,108,0,12,0,12,108,74,0,12,108,74,2094,272,279,116,34,43,26,27,6,10,0,12,1534,299,215,145,93,95,122,101
1400000US06001409300,"Census Tract 4093, Alameda County, California",5303,623,1847,342,254,137,1305,306,0,17,148,125,27,33,0,17,113,86,13,21,100,85,3456,602,673,334,10,15,0,17,0,17,0,17,2689,650,84,79,33,34,51,70
1400000US06001409400,"Census Tract 4094, Alameda County, California",4780,652,1453,399,216,140,728,254,0,12,443,267,15,24,0,12,51,68,0,12,51,68,3327,571,803,475,72,88,0,12,0,12,0,12,2335,650,117,98,34,40,83,91
1400000US06001409500,"Census Tract 4095, Alameda County, California",4128,347,1450,210,173,95,1032,193,5,8,69,55,83,116,37,46,51,50,0,12,51,50,2678,338,737,244,18,19,100,131,0,12,0,12,1764,353,59,65,59,65,0,12
1400000US06001409600,"Census Tract 4096, Alameda County, California",4978,629,2140,623,159,102,1623,588,11,17,233,209,36,33,54,66,24,30,0,12,24,30,2838,702,358,214,30,45,2,5,0,12,0,12,2378,698,70,42,32,27,38,35
1400000US06001409700,"Census Tract 4097, Alameda County, California",4991,598,2111,347,177,79,1598,303,0,12,94,90,17,25,18,32,207,125,10,16,197,120,2880,526,659,340,0,12,0,12,0,12,9,15,2089,564,123,86,96,71,27,42
1400000US06001409800,"Census Tract 4098, Alameda County, California",3516,512,3076,462,717,250,1944,418,10,15,150,90,0,12,80,89,175,109,0,12,175,109,440,249,208,132,31,48,1,3,135,219,0,12,40,46,25,40,24,40,1,3
